"","county","state","tract","B01001_001E","ukrainian","turkish","romanian","russian","polish","german","italian","french","arabian","fips","boro_ct2010"
"281","47","36","102800",1795,0,0,0,0,0,19,14,0,0,3,"3102800"
"282","47","36","111000",3365,0,0,0,0,68,0,0,0,0,3,"3111000"
"283","47","36","112200",3587,0,0,0,0,0,0,0,0,0,3,"3112200"
"284","47","36","038100",5459,0,0,0,8,9,77,89,17,0,3,"3038100"
"285","47","36","040400",2352,93,0,0,98,22,11,537,0,21,3,"3040400"
"286","47","36","115200",3075,0,0,0,0,0,0,0,0,21,3,"3115200"
"287","47","36","026600",3464,20,39,0,148,40,46,522,0,21,3,"3026600"
"288","47","36","018700",1614,6,49,7,38,21,102,58,21,22,3,"3018700"
"289","47","36","001100",1237,34,5,0,46,29,103,68,93,0,3,"3001100"
"290","47","36","003500",1708,20,0,0,45,66,85,88,34,5,3,"3003500"
"291","47","36","000900",4410,33,24,15,408,526,348,490,72,13,3,"3000900"
"292","47","36","093800",2383,0,0,0,0,0,0,0,5,0,3,"3093800"
"293","47","36","056100",3348,22,0,10,68,514,188,380,19,20,3,"3056100"
"294","47","36","093600",1832,0,0,0,0,0,0,0,0,0,3,"3093600"
"295","47","36","095800",3743,0,0,0,11,17,1,145,0,22,3,"3095800"
"296","47","36","041100",3147,0,0,0,0,25,0,128,0,0,3,"3041100"
"297","47","36","042000",1831,12,0,11,16,16,9,31,0,208,3,"3042000"
"298","47","36","082000",4986,11,0,0,7,15,19,41,21,0,3,"3082000"
"299","47","36","070203",0,0,0,0,0,0,0,0,0,0,3,"3070203"
"300","47","36","111600",3763,0,0,0,8,0,0,7,6,60,3,"3111600"
"301","47","36","044600",2190,35,16,0,97,4,5,413,13,65,3,"3044600"
"302","47","36","045300",2513,4,5,19,44,39,101,103,29,0,3,"3045300"
"303","47","36","048800",3929,64,0,17,116,199,46,222,11,0,3,"3048800"
"304","47","36","049100",6670,0,0,0,18,212,117,85,38,0,3,"3049100"
"305","47","36","049600",4452,28,0,0,84,116,174,240,71,0,3,"3049600"
"306","47","36","049900",1860,0,10,0,43,514,220,155,64,19,3,"3049900"
"307","47","36","050400",4626,54,40,34,177,337,216,275,39,68,3,"3050400"
"308","47","36","053300",6907,0,0,60,12,298,0,0,0,0,3,"3053300"
"309","47","36","055300",2761,40,0,0,53,388,193,212,46,37,3,"3055300"
"310","47","36","056300",5092,45,16,16,127,664,270,261,58,48,3,"3056300"
"311","47","36","059401",8186,606,16,15,761,73,12,353,12,170,3,"3059401"
"312","47","36","060000",6572,860,0,162,915,131,35,515,166,30,3,"3060000"
"313","47","36","060600",2728,268,130,12,580,61,57,35,0,0,3,"3060600"
"314","47","36","067400",2011,0,0,0,4,49,51,124,16,171,3,"3067400"
"315","47","36","023400",4667,14,0,80,61,420,6,0,54,0,3,"3023400"
"316","47","36","055400",4492,324,196,26,573,137,7,47,6,105,3,"3055400"
"317","47","36","040600",3533,39,46,0,56,25,49,495,0,139,3,"3040600"
"318","47","36","047600",3563,15,0,125,14,170,17,109,0,8,3,"3047600"
"319","47","36","054200",4789,348,0,10,454,162,36,85,0,110,3,"3054200"
"320","47","36","074000",4122,0,0,0,0,0,17,15,0,29,3,"3074000"
"321","47","36","061600",1513,162,0,0,308,27,0,110,0,20,3,"3061600"
"322","47","36","023300",5153,36,0,113,10,22,198,67,70,0,3,"3023300"
"323","47","36","024500",4535,0,10,0,108,76,94,147,29,33,3,"3024500"
"324","47","36","025100",3547,11,0,0,27,30,53,83,0,39,3,"3025100"
"325","47","36","073000",2431,1,0,0,5,17,18,53,0,47,3,"3073000"
"326","47","36","029900",2947,0,0,0,12,0,0,0,9,17,3,"3029900"
"327","47","36","059402",5179,360,141,102,876,226,59,231,3,25,3,"3059402"
"328","47","36","026800",3841,78,0,0,138,8,108,540,34,127,3,"3026800"
"329","47","36","086400",2149,0,0,0,0,0,0,0,0,0,3,"3086400"
"330","47","36","086600",3225,0,0,0,0,0,0,14,0,0,3,"3086600"
"331","47","36","024300",4020,10,0,11,93,94,136,143,69,132,3,"3024300"
"332","47","36","001300",2401,0,5,18,88,117,80,245,14,37,3,"3001300"
"333","47","36","002000",1232,0,4,0,0,5,0,13,0,0,3,"3002000"
"334","47","36","064200",2327,145,10,6,211,184,32,40,17,45,3,"3064200"
"335","47","36","068000",2300,5,0,0,5,3,26,139,0,0,3,"3068000"
"336","47","36","096000",0,0,0,0,0,0,0,0,0,0,3,"3096000"
"337","47","36","102600",2617,0,0,0,10,31,0,0,0,0,3,"3102600"
"338","47","36","103400",4046,9,0,0,28,33,0,41,0,0,3,"3103400"
"339","47","36","051002",4595,0,0,0,50,10,51,52,87,10,3,"3051002"
"340","47","36","051601",5506,0,0,0,0,0,62,0,0,0,3,"3051601"
"341","47","36","119400",4248,0,0,0,0,0,0,6,89,0,3,"3119400"
"342","47","36","120800",9566,0,0,0,0,0,0,75,0,0,3,"3120800"
"343","47","36","121400",4851,0,0,0,0,0,0,26,0,0,3,"3121400"
"344","47","36","017200",3360,0,0,0,88,117,29,791,0,131,3,"3017200"
"345","47","36","017500",0,0,0,0,0,0,0,0,0,0,3,"3017500"
"346","47","36","024200",2994,0,0,9,38,183,27,76,0,58,3,"3024200"
"347","47","36","024400",4039,17,0,6,13,342,11,328,4,32,3,"3024400"
"348","47","36","026100",4993,0,0,0,62,0,214,116,163,0,3,"3026100"
"349","47","36","027700",4630,0,0,0,0,19,98,63,31,0,3,"3027700"
"350","47","36","028200",3496,214,0,0,144,148,41,387,8,80,3,"3028200"
"351","47","36","028800",3816,57,15,0,335,27,0,176,0,109,3,"3028800"
